#古籍字	Unicode	序号
蘁	08601	10923
騖	09A16	10924
鶩	09DA9	10925
夕	05915	10926
兮	0516E	10927
扱	06271	10928
西	0897F	10929
吸	05438	10930
㕧	03567	10931
汐	06C50	10932
忚	05FDA	10933
扸	06278	10934
吚	0541A	10935
希	05E0C	10936
昔	06614	10937
析	06790	10938
肸	080B8	10939
肹	080B9	10940
穸	07A78	10941
怸	06038	10942
俙	04FD9	10943
恓	06053	10944
莃	08383	10945
唏	0550F	10946
息	0606F	10947
𢙅	22645	10948
奚	0595A	10949
狶	072F6	10950
浠	06D60	10951
悕	06095	10952
娭	05A2D	10953
晞	0665E	10954
欷	06B37	10955
悉	06089	10956
猎	0730E	10957
烯	070EF	10958
淅	06DC5	10959
惜	060DC	10960
晰	06670	10961
睎	0774E	10962
稀	07A00	10963
傒	05092	10964
鄎	0910E	10965
翖	07FD6	10966
翕	07FD5	10967
腊	0814A	10968
粞	07C9E	10969
焬	0712C	10970
犀	07280	10971
蒠	084A0	10972
媐	05A90	10973
皙	07699	10974
徯	05FAF	10975
溪	06EAA	10976
裼	088FC	10977
㜎	0370E	10978
熙	07199	10979
榽	069BD	10980
豨	08C68	10981
蜥	08725	10982
㗩	035E9	10983
僖	050D6	10984
誒	08A92	10985
熄	07184	10986
緆	07DC6	10987
撕	06495	10988
嘻	0563B	10989
噏	0564F	10990
膝	0819D	10991
瘜	0761C	10992
潝	06F5D	10993
嬉	05B09	10994
熹	071B9	10995
㯕	03BD5	10996
橀	06A40	10997
樨	06A28	10998
螅	08785	10999
螇	08787	11000
錫	0932B	11001
歙	06B59	11002
羲	07FB2	11003
熺	071BA	11004
熻	071BB	11005
窸	07AB8	11006
豯	08C6F	11007
蹊	08E4A	11008
蟋	087CB	11009
䶋	04D8B	11010
貕	08C95	11011
谿	08C3F	11012
㘊	0360A	11013
鵗	09D57	11014
𥼤	25F24	11015
醯	091AF	11016
𡾞	21F9E	11017
譆	08B46	11018
曦	066E6	11019
巇	05DC7	11020
酅	09145	11021
犧	072A7	11022
爔	07214	11023
觽	089FD	11024
鼷	09F37	11025
蠵	08835	11026
鸂	09E02	11027
纗	07E97	11028
觿	089FF	11029
鑴	09474	11030
郋	090CB	11031
席	05E2D	11032
習	07FD2	11033
蒵	084B5	11034
蓆	084C6	11035
媳	05AB3	11036
覡	089A1	11037
嶍	05D8D	11038
槢	069E2	11039
薂	08582	11040
隰	096B0	11041
檄	06A84	11042
䒁	04481	11043
謵	08B35	11044
霫	0972B	11045
騱	09A31	11046
鰼	09C3C	11047
襲	08972	11048
𪄶	2A136	11049
驨	09A68	11050
洗	06D17	11051
枲	067B2	11052
徙	05F99	11053
喜	0559C	11054
葸	08478	11055
葈	08448	11056
𤟧	247E7	11057
蓰	084F0	11058
漇	06F07	11059
屣	05C63	11060
憘	06198	11061
憙	06199	11062
暿	066BF	11063
諰	08AF0	11064
禧	079A7	11065
壐	058D0	11066
謑	08B11	11067
縰	07E30	11068
蹝	08E5D	11069
蟢	087E2	11070
璽	074BD	11071
矖	077D6	11072
纚	07E9A	11073
躧	08EA7	11074
卌	0534C	11075
系	07CFB	11076
呬	0546C	11077
郄	090C4	11078
怬	0602C	11079
盻	076FB	11080
咥	054A5	11081
係	04FC2	11082
郤	090E4	11083
𣳦	23CE6	11084
欯	06B2F	11085
釳	091F3	11086
細	07D30	11087
舄	08204	11088
隙	09699	11089
赩	08D69	11090
禊	0798A	11091
綌	07D8C	11092
熂	07182	11093
蕮	0856E	11094
覤	089A4	11095
潟	06F5F	11096
黖	09ED6	11097
磶	078F6	11098
戲	06232	11099
鬩	09B29	11100
虩	08669	11101
餼	0993C	11102
繫	07E6B	11103
闟	095DF	11104
嚱	056B1	11105
𤄎	2410E	11106
霼	0973C	11107
衋	0884B	11108
屭	05C6D	11109
呀	05440	11110
岈	05C88	11111
呷	05477	11112
谺	08C3A	11113
傄	05084	11114
颬	098AC	11115
煆	07146	11116
瞎	0778E	11117
蝦	08766	11118
㗿	035FF	11119
𧯋	27BCB	11120
鰕	09C15	11121
匣	05323	11122
狎	072CE	11123
柙	067D9	11124
俠	04FE0	11125
陜	0965C	11126
峽	05CFD	11127
狹	072F9	11128
祫	0796B	11129
陿	0967F	11130
硤	07864	11131
遐	09050	11132
瑕	07455	11133
搳	06433	11134
暇	06687	11135
舝	0821D	11136
碬	078AC	11137
𦾏	26F8F	11138
蕸	08578	11139
磍	078CD	11140
赮	08D6E	11141
魻	09B7B	11142
轄	08F44	11143
霞	0971E	11144
鍜	0935C	11145
黠	09EE0	11146
䪗	04A97	11147
騢	09A22	11148
鶷	09DB7	11149
下	04E0B	11150
昰	06630	11151
夏	0590F	11152
𧏡	273E1	11153
罅	07F45	11154
仙	04ED9	11155
仚	04EDA	11156
先	05148	11157
忺	05FFA	11158
苮	082EE	11159
杴	06774	11160
秈	079C8	11161
祆	07946	11162
籼	07C7C	11163
掀	06380	11164
嘕	05615	11165
僊	050CA	11166
銛	0929B	11167
暹	066B9	11168
鍁	09341	11169
憸	061B8	11170
韱	097F1	11171
鮮	09BAE	11172
攕	06515	11173
孅	05B45	11174
鶱	09DB1	11175
躚	08E9A	11176
襳	08973	11177
纖	07E96	11178
𨇤	281E4	11179
鱻	09C7B	11180
伭	04F2D	11181
㳄	03CC4	11182
弦	05F26	11183
咸	054B8	11184
胘	080D8	11185
涎	06D8E	11186
蚿	086BF	11187
舷	08237	11188
絃	07D43	11189
閑	09591	11190
蛝	086DD	11191
啣	05563	11192
嗛	055DB	11193
衘	08858	11194
慊	0614A	11195
嫌	05ACC	11196
銜	0929C	11197
撏	0648F	11198
賢	08CE2	11199
𧍧	27367	11200
稴	07A34	11201
誸	08AB8	11202
澖	06F96	11203
憪	061AA	11204
嫻	05AFB	11205
醎	0918E	11206
𣊺	232BA	11207
𠾑	20F91	11208
諴	08AF4	11209
癇	07647	11210
藖	085D6	11211
䕭	0456D	11212
礥	07925	11213
鹹	09E79	11214
麙	09E99	11215
鷴	09DF4	11216
䲗	04C97	11217
毨	06BE8	11218
筅	07B45	11219
尠	05C20	11220
尟	05C1F	11221
跣	08DE3	11222
禒	07992	11223
㬎	03B0E	11224
銑	09291	11225
箲	07BB2	11226
險	096AA	11227
嶮	05DAE	11228
獫	0736B	11229
獮	0736E	11230
燹	071F9	11231
幰	05E70	11232
蘚	0861A	11233
㶍	03D8D	11234
𢥌	2294C	11235
䘆	04606	11236
韅	097C5	11237
顯	0986F	11238
㒨	034A8	11239
灦	07066	11240
臽	081FD	11241
限	09650	11242
莧	083A7	11243
峴	05CF4	11244
㪇	03A87	11245
涀	06D80	11246
陷	09677	11247
現	073FE	11248
硍	0784D	11249
晛	0665B	11250
睍	0774D	11251
蜆	08706	11252
腺	0817A	11253
羨	07FA8	11254
僩	050E9	11255
綫	07DAB	11256
撊	0648A	11257
䨘	04A18	11258
鋧	092E7	11259
線	07DDA	11260
橺	06A7A	11261
錎	0930E	11262
餡	09921	11263
憲	061B2	11264
壏	058CF	11265
豏	08C4F	11266
䭑	04B51	11267
譀	08B40	11268
䱤	04C64	11269
瀗	07017	11270
霰	09730	11271
獻	0737B	11272
鏾	093FE	11273
䃸	040F8	11274
鼸	09F38	11275
香	09999	11276
啌	0554C	11277
鄉	09109	11278
葙	08459	11279
廂	05EC2	11280
湘	06E58	11281
薌	0858C	11282
箱	07BB1	11283
膷	081B7	11284
緗	07DD7	11285
襄	08944	11286
忀	05FC0	11287
瓖	074D6	11288
欀	06B00	11289
驤	09A64	11290
瓨	074E8	11291
庠	05EA0	11292
栙	06819	11293
祥	07965	11294
翔	07FD4	11295
䜶	04736	11296
詳	08A73	11297
享	04EAB	11298
想	060F3	11299
餉	09909	11300
蠁	08801	11301
鯗	09BD7	11302
饗	09957	11303
響	097FF	11304
饟	0995F	11305
向	05411	11306
巷	05DF7	11307
相	076F8	11308
珦	073E6	11309
象	08C61	11310
項	09805	11311
㟟	037DF	11312
缿	07F3F	11313
衖	08856	11314
像	050CF	11315
閧	095A7	11316
𤩪	24A6A	11317
橡	06A61	11318
曏	066CF	11319
襐	08950	11320
蟓	087D3	11321
嚮	056AE	11322
䦳	049B3	11323
鱌	09C4C	11324
枵	067B5	11325
侾	04FBE	11326
逍	0900D	11327
𡷸	21DF8	11328
烋	070CB	11329
虓	08653	11330
庨	05EA8	11331
消	06D88	11332
宵	05BB5	11333
唬	0552C	11334
梟	0689F	11335
猇	07307	11336
萷	08437	11337
硣	07863	11338
硝	0785D	11339
翛	07FDB	11340
痚	075DA	11341
痟	075DF	11342
窙	07A99	11343
揱	063F1	11344
綃	07D83	11345
踃	08E03	11346
嘐	05610	11347
㺒	03E92	11348
歊	06B4A	11349
霄	09704	11350
嘵	05635	11351
銷	092B7	11352
獟	0735F	11353
獢	07362	11354
憢	061A2	11355
蕭	0856D	11356
鴞	09D1E	11357
魈	09B48	11358
膮	081AE	11359
藃	085C3	11360
髇	09AC7	11361
簫	07C2B	11362
瀟	0701F	11363
櫹	06AF9	11364
囂	056C2	11365
髐	09AD0	11366
驍	09A4D	11367
蠨	08828	11368
毊	06BCA	11369
䖀	04580	11370
洨	06D28	11371
崤	05D24	11372
淆	06DC6	11373
㮁	03B81	11374
殽	06BBD	11375
誵	08AB5	11376
小	05C0F	11377
筱	07B71	11378
𩵖	29D56	11379
曉	066C9	11380
謏	08B0F	11381
孝	05B5D	11382
肖	08096	11383
咲	054B2	11384
恔	06054	11385
哮	054EE	11386
笑	07B11	11387
效	06548	11388
涍	06D8D	11389
詨	08A68	11390
皛	0769B	11391
㔅	03505	11392
嘯	0562F	11393
斆	06586	11394
猲	07332	11395
楔	06954	11396
歇	06B47	11397
蝎	0874E	11398
叶	053F6	11399
邪	090AA	11400
旪	065EA	11401
劦	052A6	11402
協	05354	11403
頁	09801	11404
𠗉	205C9	11405
恊	0604A	11406
挾	0633E	11407
衺	0887A	11408
脅	08105	11409
偕	05055	11410
斜	0659C	11411
絜	07D5C	11412
揳	063F3	11413
嗋	055CB	11414
愶	06136	11415
𨁂	28042	11416
膎	0818E	11417
熁	07181	11418
頡	09821	11419
鞋	0978B	11420
緳	07DF3	11421
勰	052F0	11422
諧	08AE7	11423
擷	064F7	11424
𤢺	248BA	11425
鞵	097B5	11426
襭	0896D	11427
攜	0651C	11428
𢥘	22958	11429
纈	07E88	11430
𪕯	2A56F	11431
龤	09FA4	11432
寫	05BEB	11433
灺	0707A	11434
泄	06CC4	11435
卸	05378	11436
洩	06D29	11437
娎	05A0E	11438
㳦	03CE6	11439
屑	05C51	11440
屓	05C53	11441
械	068B0	11442
禼	079BC	11443
偰	05070	11444
偞	0505E	11445
紲	07D32	11446
渫	06E2B	11447
屟	05C5F	11448
媟	05A9F	11449
絏	07D4F	11450
絬	07D6C	11451
僁	050C1	11452
㣯	038EF	11453
㴬	03D2C	11454
榭	069AD	11455
榍	0698D	11456
褉	08909	11457
屧	05C67	11458
緤	07DE4	11459
薤	085A4	11460
薢	085A2	11461
韰	097F0	11462
嶰	05DB0	11463
獬	0736C	11464
邂	09082	11465
廨	05EE8	11466
澥	06FA5	11467
懈	061C8	11468
謝	08B1D	11469
燮	071EE	11470
褻	0893B	11471
𪌯	2A32F	11472
瀉	07009	11473
齘	09F58	11474
蟹	087F9	11475
瀣	07023	11476
齛	09F5B	11477
𪍛	2A35B	11478
齥	09F65	11479
躠	08EA0	11480
䪥	04AA5	11481
躞	08E9E	11482
心	05FC3	11483
芯	082AF	11484
辛	08F9B	11485
忻	05FFB	11486
昕	06615	11487
欣	06B23	11488
炘	07098	11489
訢	08A22	11490
焮	0712E	11491
新	065B0	11492
歆	06B46	11493
鋅	092C5	11494
廞	05EDE	11495
薪	085AA	11496
噷	05677	11497
馨	099A8	11498
鑫	0946B	11499
枔	06794	11500
鐔	09414	11501
伈	04F08	11502
囟	056DF	11503
𤜢	24722	11504
信	04FE1	11505
衅	08845	11506
𧗹	275F9	11507
舋	0820B	11508
釁	091C1	11509
星	0661F	11510
胜	080DC	11511
猩	07329	11512
惺	060FA	11513
㙚	0365A	11514
蛵	086F5	11515
腥	08165	11516
篂	07BC2	11517
𦂅	26085	11518
興	08208	11519
騂	09A02	11520
觲	089F2	11521
鯹	09BF9	11522
刑	05211	11523
邢	090A2	11524
形	05F62	11525
侀	04F80	11526
型	0578B	11527
䣆	048C6	11528
𡶭	21DAD	11529
洐	06D10	11530
陘	09658	11531
𡷨	21DE8	11532
娙	05A19	11533
硎	0784E	11534
鈃	09203	11535
鉶	09276	11536
滎	06ECE	11537
鋞	092DE	11538
餳	09933	11539
省	07701	11540
箵	07BB5	11541
醒	09192	11542
擤	064E4	11543
杏	0674F	11544
幸	05E78	11545
性	06027	11546
姓	059D3	11547
荇	08347	11548
倖	05016	11549
涬	06DAC	11550
悻	060BB	11551
婞	05A5E	11552
凶	051F6	11553
兄	05144	11554
芎	0828E	11555
兇	05147	11556
匈	05308	11557
洶	06D36	11558
恟	0605F	11559
胸	080F8	11560
詾	08A7E	11561
雄	096C4	11562
熊	0718A	11563
詗	08A57	11564
夐	05910	11565
休	04F11	11566
咻	054BB	11567
修	04FEE	11568
庥	05EA5	11569
脩	08129	11570
羞	07F9E	11571
脙	08119	11572
貅	08C85	11573
髹	09AF9	11574
鵂	09D42	11575
饈	09948	11576
鱃	09C43	11577
飍	098CD	11578
朽	0673D	11579
滫	06EEB	11580
糔	07CD4	11581
秀	079C0	11582
岫	05CAB	11583
珛	073DB	11584
臭	081ED	11585
袖	08896	11586
琇	07407	11587
嗅	055C5	11588
銹	092B9	11589
螑	08791	11590
繡	07E61	11591
鏽	093FD	11592
齅	09F45	11593
蓿	084FF	11594
戌	0620C	11595
吁	05401	11596
旴	065F4	11597
䏏	043CF	11598
盱	076F1	11599
砉	07809	11600
欨	06B28	11601
胥	080E5	11602
訏	08A0F	11603
虚	0865A	11604
揟	063DF	11605
須	09808	11606
欻	06B3B	11607
頊	0980A	11608
楈	06948	11609
墟	0589F	11610
需	09700	11611
嘘	05618	11612
魆	09B46	11613
蕦	08566	11614
歔	06B54	11615
蝑	08751	11616
𢄼	2213C	11617
嬃	05B03	11618
諝	08ADD	11619
𩓣	294E3	11620
𧴆	27D06	11621
𦄼	2613C	11622
魖	09B56	11623
繻	07E7B	11624
驉	09A49	11625
鬚	09B1A	11626
鑐	09450	11627
徐	05F90	11628
呴	05474	11629
姁	059C1	11630
珝	073DD	11631
栩	06829	11632
冔	05194	11633
偦	05066	11634
許	08A31	11635
蛡	086E1	11636
喣	055A3	11637
湑	06E51	11638
詡	08A61	11639
鄦	09126	11640
稰	07A30	11641
糈	07CC8	11642
醑	09191	11643
旭	065ED	11644
序	05E8F	11645
㜿	0373F	11646
侐	04F90	11647
怴	06034	11648
㐨	03428	11649
昫	0662B	11650
洫	06D2B	11651
恤	06064	11652
珬	073EC	11653
垿	057BF	11654
殈	06B88	11655
掝	0639D	11656
酗	09157	11657
勖	052D6	11658
敘	06558	11659
壻	058FB	11660
䣱	048F1	11661
訹	08A39	11662
絮	07D6E	11663
婿	05A7F	11664
蓄	084C4	11665
煦	07166	11666
慉	06149	11667
窢	07AA2	11668
瞁	07781	11669
盢	076E2	11670
漵	06F35	11671
緒	07DD2	11672
獝	0735D	11673
𩣊	298CA	11674
藇	085C7	11675
藚	085DA	11676
䱛	04C5B	11677
續	07E8C	11678
鱮	09C6E	11679
亘	04E98	11680
宣	05BA3	11681
軒	08ED2	11682
晅	06645	11683
弲	05F32	11684
揎	063CE	11685
萱	08431	11686
喧	055A7	11687
瑄	07444	11688
暄	06684	11689
煊	0714A	11690
䁔	04054	11691
蝖	08756	11692
儇	05107	11693
鋗	092D7	11694
禤	079A4	11695
諼	08AFC	11696
諠	08AE0	11697
懁	061C1	11698
駽	099FD	11699
矎	077CE	11700
蠉	08809	11701
翾	07FFE	11702
玄	07384	11703
玹	073B9	11704
痃	075C3	11705
旋	065CB	11706
蜁	08701	11707
漩	06F29	11708
嫙	05AD9	11709
璇	07487	11710
暶	066B6	11711
縣	07E23	11712
䁢	04062	11713
䗠	045E0	11714
懸	061F8	11715
咺	054BA	11716
烜	070DC	11717
㾌	03F8C	11718
暅	06685	11719
選	09078	11720
㿅	03FC5	11721
䠣	04823	11722
癬	0766C	11723
泫	06CEB	11724
昡	06621	11725
炫	070AB	11726
眩	07729	11727
袨	088A8	11728
琄	07404	11729
衒	08852	11730
渲	06E32	11731
絢	07D62	11732
楥	06965	11733
鉉	09249	11734
蔙	08519	11735
鞙	09799	11736
縼	07E3C	11737
䍻	0437B	11738
繏	07E4F	11739
鏇	093C7	11740
讂	08B82	11741
贙	08D19	11742
削	0524A	11743
靴	09774	11744
薛	0859B	11745
穴	07A74	11746
㿱	03FF1	11747
踅	08E05	11748
壆	058C6	11749
嶨	05DA8	11750
學	05B78	11751
䱑	04C51	11752
㶅	03D85	11753
觷	089F7	11754
鷽	09DFD	11755
雪	096EA	11756
血	08840	11757
吷	05437	11758
狘	072D8	11759
𥄴	25134	11760
𥅧	25167	11761
䎀	04380	11762
趐	08D90	11763
謔	08B14	11764
瞲	077B2	11765
𤀰	24030	11766
𩌊	2930A	11767
焄	07104	11768
勛	052DB	11769
塤	05864	11770
熏	0718F	11771
勳	052F3	11772
壎	058CE	11773
薰	085B0	11774
獯	0736F	11775
曛	066DB	11776
臐	081D0	11777
矄	077C4	11778
纁	07E81	11779
醺	091BA	11780
旬	065EC	11781
巡	05DE1	11782
郇	090C7	11783
荀	08340	11784
峋	05CCB	11785
洵	06D35	11786
恂	06042	11787
紃	07D03	11788
珣	073E3	11789
栒	06812	11790
䘩	04629	11791
循	05FAA	11792
尋	05C0B	11793
詢	08A62	11794
鄩	09129	11795
潯	06F6F	11796
樳	06A33	11797
攳	06533	11798
燂	071C2	11799
燖	071D6	11800
蟳	087F3	11801
鱏	09C4F	11802
汛	06C5B	11803
迅	08FC5	11804
侚	04F9A	11805
徇	05F87	11806
迿	08FFF	11807
狥	072E5	11808
殉	06B89	11809
訓	08A13	11810
訊	08A0A	11811
梭	068AD	11812
巽	05DFD	11813
馴	099B4	11814
遜	0905C	11815
䭀	04B40	11816
蕈	08548	11817
噀	05640	11818
顨	09868	11819
丫	04E2B	11820
押	062BC	11821
㳌	03CCC	11822
𠜲	20732	11823
䆘	04198	11824
孲	05B72	11825
椏	0690F	11826
䃁	040C1	11827
厭	053AD	11828
鴉	09D09	11829
鴨	09D28	11830
錏	0930F	11831
壓	058D3	11832
牙	07259	11833
伢	04F22	11834
㧎	039CE	11835
芽	082BD	11836
厓	05393	11837
疨	075A8	11838
琊	0740A	11839
蚜	0869C	11840
崖	05D16	11841
涯	06DAF	11842
釾	091FE	11843
睚	0775A	11844
衙	08859	11845
齖	09F56	11846
𤴓	24D13	11847
庌	05E8C	11848
掗	06397	11849
啞	0555E	11850
雅	096C5	11851
瘂	07602	11852
圠	05720	11853
迓	08FD3	11854
亞	04E9E	11855
軋	08ECB	11856
砑	07811	11857
𨹝	28E5D	11858
埡	057E1	11859
𡸗	21E17	11860
訝	08A1D	11861
婭	05A6D	11862
揠	063E0	11863
𡇼	211FC	11864
䰲	04C32	11865
猰	07330	11866
圔	05714	11867
𥏝	253DD	11868
稏	07A0F	11869
窫	07AAB	11870
䝟	0475F	11871
䦪	049AA	11872
齾	09F7E	11873
咽	054BD	11874
珚	073DA	11875
胭	080ED	11876
烟	070DF	11877
焉	07109	11878
崦	05D26	11879
淹	06DF9	11880
㤿	0393F	11881
腌	0814C	11882
湮	06E6E	11883
鄢	09122	11884
煙	07159	11885
漹	06F39	11886
嫣	05AE3	11887
醃	09183	11888
閹	095B9	11889
閼	095BC	11890
懨	061E8	11891
黫	09EEB	11892
延	05EF6	11893
言	08A00	11894
妍	0598D	11895
郔	090D4	11896
炎	0708E	11897
沿	06CBF	11898
埏	057CF	11899
莚	0839A	11900
研	07814	11901
唌	0550C	11902
狿	072FF	11903
狠	072E0	11904
趼	08DBC	11905
蜒	08712	11906
筵	07B75	11907
綖	07D96	11908
䇾	041FE	11909
碞	0789E	11910
𧎘	27398	11911
虤	08664	11912
閻	095BB	11913
檐	06A90	11914
䗡	045E1	11915
顔	09854	11916
壛	058DB	11917
嚴	056B4	11918
㶄	03D84	11919
㘖	03616	11920
巖	05DD6	11921
鹽	09E7D	11922
广	05E7F	11923
沇	06C87	11924
奄	05944	11925
匽	0533D	11926
衍	0884D	11927
弇	05F07	11928
兗	05157	11929
剡	05261	11930
掩	063A9	11931
郾	090FE	11932
𨟹	287F9	11933
眼	0773C	11934
偃	05043	11935
酓	09153	11936
𤟇	247C7	11937
琰	07430	11938
𦳆	26CC6	11939
棪	068EA	11940
嵃	05D43	11941
𧊔	27294	11942
渰	06E30	11943
渷	06E37	11944
扊	0624A	11945
隒	09692	11946
罨	07F68	11947
䅖	04156	11948
裺	088FA	11949
演	06F14	11950
褗	08917	11951
蝘	08758	11952
戭	0622D	11953
噞	0565E	11954
嬐	05B10	11955
縯	07E2F	11956
檿	06ABF	11957
𥜒	25712	11958
厴	053B4	11959
鶠	09DA0	11960
齞	09F5E	11961
甗	07517	11962
黤	09EE4	11963
鰋	09C0B	11964
龑	09F91	11965
黬	09EEC	11966
黭	09EED	11967
儼	0513C	11968
䌪	0432A	11969
魘	09B58	11970
曮	066EE	11971
巘	05DD8	11972
鼹	09F39	11973
齴	09F74	11974
黶	09EF6	11975
彦	05F66	11976
晏	0664F	11977
唁	05501	11978
俺	04FFA	11979
這	09019	11980
烻	070FB	11981
宴	05BB4	11982
堰	05830	11983
硯	0786F	11984
雁	096C1	11985
猒	07312	11986
喭	055AD	11987
焰	07130	11988
焱	07131	11989
傿	050BF	11990
鴈	09D08	11991
燕	071D5	11992
鬳	09B33	11993
燄	071C4	11994
諺	08AFA	11995
曕	066D5	11996
鴳	09D33	11997
騐	09A10	11998
酀	09140	11999
贋	08D0B	12000
嚥	056A5	12001
艶	08276	12002
嬿	05B3F	12003
騴	09A34	12004
醶	091B6	12005
曣	066E3	12006
爓	07213	12007
鷃	09DC3	12008
灔	07054	12009
驗	09A57	12010
饜	0995C	12011
讌	08B8C	12012
驠	09A60	12013
釅	091C5	12014
讞	08B9E	12015
央	0592E	12016
抰	062B0	12017
咉	05489	12018
泱	06CF1	12019
姎	059CE	12020
殃	06B83	12021
胦	080E6	12022
秧	079E7	12023
𧲱	27CB1	12024
雵	096F5	12025
鉠	09260	12026
鞅	09785	12027
鴦	09D26	12028
䱀	04C40	12029
𪓛	2A4DB	12030
羊	07F8A	12031
佯	04F6F	12032
垟	0579F	12033
昜	0661C	12034
㟅	037C5	12035
徉	05F89	12036
𦍕	26355	12037
洋	06D0B	12038
烊	070CA	12039
痒	075D2	12040
陽	0967D	12041
揚	063DA	12042
崵	05D35	12043
瑒	07452	12044
楊	0694A	12045
敭	0656D	12046
暘	06698	12047
䖹	045B9	12048
䁑	04051	12049
瘍	0760D	12050
鍚	0935A	12051
鴹	09D39	12052
颺	098BA	12053
鸉	09E09	12054
仰	04EF0	12055
佒	04F52	12056
坱	05771	12057
岟	05C9F	12058
柍	067CD	12059
䍩	04369	12060
紻	07D3B	12061
軮	08EEE	12062
蛘	086D8	12063
養	0990A	12064
懩	061E9	12065
癢	07662	12066
怏	0600F	12067
恙	06059	12068
羕	07F95	12069
詇	08A47	12070
㺊	03E8A	12071
煬	0716C	12072
漾	06F3E	12073
駚	099DA	12074
樣	06A23	12075
瀁	07001	12076
幺	05E7A	12077
夭	0592D	12078
吆	05406	12079
妖	05996	12080
殀	06B80	12081
祅	07945	12082
要	08981	12083
訞	08A1E	12084
葽	0847D	12085
喓	05593	12086
腰	08170	12087
䙅	04645	12088
邀	09080	12089
爻	0723B	12090
肴	080B4	12091
垚	0579A	12092
姚	059DA	12093
珧	073E7	12094
倄	05004	12095
烑	070D1	12096
窑	07A91	12097
堯	0582F	12098
軺	08EFA	12099
傜	0509C	12100
摇	06447	12101
䔄	04504	12102
𡺯	21EAF	12103
徭	05FAD	12104
遥	09065	12105
猺	0733A	12106
媱	05AB1	12107
瑶	07476	12108
榣	069A3	12109
僥	050E5	12110
銚	0929A	12111
嶢	05DA2	12112
繇	07E47	12113
謡	08B21	12114
颻	098BB	12115
蘨	08628	12116
顤	09864	12117
鰩	09C29	12118
杳	06773	12119
狕	072D5	12120
咬	054AC	12121
㝔	03754	12122
眑	07711	12123
舀	08200	12124
窅	07A85	12125
窈	07A88	12126
偠	05060	12127
婹	05A79	12128
溔	06E94	12129
䁏	0404F	12130
䁘	04058	12131
䴠	04D20	12132
䯚	04BDA	12133
鴢	09D22	12134
嚙	05699	12135
騕	09A15	12136
鷕	09DD5	12137
怮	0602E	12138
穾	07A7E	12139
袎	0888E	12140
窔	07A94	12141
葯	0846F	12142
筄	07B44	12143
愮	0612E	12144
靿	0977F	12145
覞	0899E	12146
𧇠	271E0	12147
𪖐	2A590	12148
藥	085E5	12149
曜	066DC	12150
𦡱	26871	12151
燿	071FF	12152
矅	077C5	12153
耀	08000	12154
鷂	09DC2	12155
𤄶	24136	12156
枒	06792	12157
倻	0503B	12158
椰	06930	12159
暍	0668D	12160
噎	0564E	12161
䭇	04B47	12162
蠮	0882E	12163
耶	08036	12164
揶	063F6	12165
㖿	035BF	12166
爺	0723A	12167
歋	06B4B	12168
擨	064E8	12169
也	04E5F	12170
冶	051B6	12171
野	091CE	12172
𡐨	21428	12173
曳	066F3	12174
抴	062B4	12175
夜	0591C	12176
拽	062FD	12177
枼	067BC	12178
𤝱	24771	12179
掖	06396	12180
焆	07106	12181
液	06DB2	12182
葉	08449	12183
殗	06B97	12184
喝	0559D	12185
腋	0814B	12186
楪	0696A	12187
業	0696D	12188
䁆	04046	12189
曄	066C4	12190
僷	050F7	12191
燁	071C1	12192
鄴	09134	12193
瞱	077B1	12194
皣	076A3	12195
嶪	05DAA	12196
餣	09923	12197
謁	08B01	12198
擫	064EB	12199
嚈	05688	12200
鍱	09371	12201
饁	09941	12202
䱒	04C52	12203
䊦	042A6	12204
鵺	09D7A	12205
靨	09768	12206
一	04E00	12207
伊	04F0A	12208
衣	08863	12209
依	04F9D	12210
咿	054BF	12211
洢	06D22	12212
陭	0966D	12213
猗	07317	12214
郼	090FC	12215
揖	063D6	12216
壹	058F9	12217
椅	06905	12218
蛜	086DC	12219
㥋	0394B	12220
禕	07995	12221
嫛	05ADB	12222
漪	06F2A	12223
瑿	0747F	12224
噫	0566B	12225
繄	07E44	12226
檹	06AB9	12227
醫	091AB	12228
黟	09EDF	12229
譩	08B69	12230
鷖	09DD6	12231
黳	09EF3	12232
匜	0531C	12233
㐌	0340C	12234
台	053F0	12235
圯	0572F	12236
夷	05937	12237
沂	06C82	12238
坨	05768	12239
侇	04F87	12240
狋	072CB	12241
沶	06CB6	12242
怡	06021	12243
宜	05B9C	12244
衪	0886A	12245
䧅	049C5	12246
柂	067C2	12247
咦	054A6	12248
峓	05CD3	12249
㹫	03E6B	12250
𤝻	2477B	12251
迻	08FFB	12252
恞	0605E	12253
姨	059E8	12254
瓵	074F5	12255
巸	05DF8	12256
桋	0684B	12257
栘	06818	12258
胰	080F0	12259
訑	08A11	12260
宧	05BA7	12261
扅	06245	12262
㺿	03EBF	12263
𧉮	2726E	12264
移	079FB	12265
𦚟	2669F	12266
痍	075CD	12267
貽	08CBD	12268
蛦	086E6	12269
詒	08A52	12270
羠	07FA0	12271
椸	06938	12272
暆	06686	12273
跠	08DE0	12274
飴	098F4	12275
誃	08A83	12276
溰	06EB0	12277
疑	07591	12278
遺	0907A	12279
儀	05100	12280
頤	09824	12281
螔	08794	12282
嶷	05DB7	12283
簃	07C03	12284
鮧	09BA7	12285
䱌	04C4C	12286
謻	08B3B	12287
彝	05F5D	12288
鏔	093D4	12289
觺	089FA	12290
㰘	03C18	12291
